Date,Category,CPI,YoY_Change,RollingAvg_3,RollingAvg_6
2023-05-01,Shelter,376.936,5.576328961114974,374.7153333333333,371.40316666666666
2023-06-01,Shelter,377.315,5.34228600145179,376.02866666666665,373.15066666666667
2023-07-01,Shelter,377.786,4.969130485521056,377.3456666666666,374.93233333333336
2023-08-01,Shelter,380.334,5.81204808551008,378.4783333333333,376.5968333333333
2023-09-01,Shelter,383.752,6.194533535159552,380.62399999999997,378.32633333333325
2023-10-01,Shelter,383.516,5.998109525888995,382.53400000000005,379.93983333333335
2023-11-01,Shelter,384.062,5.144975346936098,383.77666666666664,381.1275
2023-12-01,Shelter,384.565,4.834664558514845,384.04766666666666,382.33583333333337
2024-01-01,Shelter,386.317,5.235960075838464,384.98133333333334,383.7576666666667
2024-02-01,Shelter,388.582,4.9237606892994945,386.488,385.1323333333333
2024-03-01,Shelter,390.88,4.68831603615667,388.593,386.32033333333334
2024-04-01,Shelter,391.724,4.785266227078799,390.3953333333333,387.68833333333333
2024-05-01,Shelter,393.133,4.2970159390453455,391.9123333333334,389.2001666666667
2024-06-01,Shelter,393.052,4.170785683049982,392.63633333333337,390.61466666666666
2024-07-01,Shelter,394.249,4.357758095853215,393.47800000000007,391.93666666666667
2024-08-01,Shelter,396.463,4.240746291417552,394.588,393.2501666666667
2024-09-01,Shelter,397.985,3.708905751631253,396.2323333333334,394.43433333333337
2024-10-01,Shelter,399.598,4.193306146288545,398.01533333333333,395.74666666666667
2024-11-01,Shelter,397.041,3.3794022840062166,398.208,396.39799999999997
2024-12-01,Shelter,399.621,3.9150728745465546,398.75333333333333,397.4928333333333
2025-01-01,Shelter,401.862,4.02389747280083,399.508,398.7616666666667
2025-02-01,Shelter,402.296,3.529242219145501,401.25966666666665,399.7338333333333
2025-03-01,Shelter,405.103,3.6387126483831356,403.087,400.9201666666667
2025-04-01,Shelter,404.785,3.3342353289561144,404.0613333333333,401.7846666666667
2025-05-01,Shelter,406.088,3.295322448128246,405.3253333333334,403.2925
2025-06-01,Shelter,406.923,3.5290495914026554,405.932,404.50950000000006
2021-01-01,Transportation,211.25,,,
2021-03-01,Transportation,216.225,,,
2021-05-01,Transportation,230.898,,219.45766666666668,
2021-07-01,Transportation,238.844,,228.65566666666666,
2021-09-01,Transportation,234.184,,234.64199999999997,
2021-11-01,Transportation,245.416,,239.4813333333333,229.4695
2022-01-01,Transportation,243.693,,241.09766666666667,234.87666666666667
2022-03-01,Transportation,259.648,,249.5856666666667,242.11383333333333
2022-05-01,Transportation,272.233,,258.5246666666667,249.00300000000001
2022-07-01,Transportation,274.897,,268.926,255.01183333333333
2022-09-01,Transportation,262.598,,269.90933333333334,259.7475
2022-11-01,Transportation,262.753,,266.74933333333337,262.637
2023-01-01,Transportation,256.886,21.602840236686394,260.7456666666667,264.83583333333337
2023-03-01,Transportation,263.458,21.84437507226271,261.0323333333334,265.47083333333336
2023-05-01,Transportation,270.876,17.31413871059948,263.74,265.24466666666666
2023-07-01,Transportation,269.264,12.736346736782167,267.86600000000004,264.30583333333334
2023-09-01,Transportation,273.063,16.601902777303312,271.06766666666664,266.05
2023-11-01,Transportation,268.219,9.291570231769718,270.182,266.96099999999996
2024-01-01,Transportation,265.53,8.960864694513159,268.9373333333333,268.40166666666664
2024-03-01,Transportation,271.791,4.676716169583428,268.5133333333333,269.7905
2024-05-01,Transportation,279.309,2.599244029930259,272.21,271.196
2024-07-01,Transportation,276.459,0.5682128215295235,275.853,272.3951666666667
2024-09-01,Transportation,271.436,3.365600651947065,275.73466666666667,272.12399999999997
2024-11-01,Transportation,272.378,3.663136101205322,273.4243333333333,272.81716666666665
2025-01-01,Transportation,270.71,5.381375396090071,271.508,273.6805
2025-03-01,Transportation,268.864,2.051939967660865,270.65066666666667,273.19266666666664
2025-05-01,Transportation,271.708,0.3071516118076323,270.4273333333333,271.9258333333333
2021-01-01,All_Items,270.535,,,
2021-03-01,All_Items,272.347,,,
2021-05-01,All_Items,275.822,,272.9013333333333,
2021-07-01,All_Items,279.099,,275.756,
2021-09-01,All_Items,280.933,,278.618,
2021-11-01,All_Items,284.24,,281.424,277.16266666666667
2022-01-01,All_Items,286.678,,283.95033333333333,279.85316666666665
2022-03-01,All_Items,292.227,,287.715,283.1665
2022-05-01,All_Items,296.559,,291.8213333333333,286.6226666666667
2022-07-01,All_Items,299.937,,296.241,290.09566666666666
2022-09-01,All_Items,299.268,,298.588,293.1515
2022-11-01,All_Items,300.085,,299.7633333333333,295.7923333333333
2023-01-01,All_Items,299.149,10.576820004805288,299.50066666666663,297.87083333333334
2023-03-01,All_Items,302.93,11.229424227180784,300.72133333333335,299.6546666666667
2023-05-01,All_Items,305.614,10.801168869778333,302.5643333333333,301.16383333333334
2023-07-01,All_Items,305.273,9.378034317571915,304.60566666666665,302.05316666666664
2023-09-01,All_Items,309.254,10.08105135388153,306.7136666666667,303.71750000000003
2023-11-01,All_Items,308.419,8.506543765831687,307.64866666666666,305.1065
2024-01-01,All_Items,309.961,8.121655655474092,309.21133333333336,306.9085
2024-03-01,All_Items,313.108,7.145472526494823,310.496,308.6048333333333
2024-05-01,All_Items,315.667,6.443237264760104,312.912,310.2803333333333
2024-07-01,All_Items,316.445,5.503822469385233,315.0733333333333,312.14233333333334
2024-09-01,All_Items,317.382,6.052768755764082,316.498,313.497
2024-11-01,All_Items,316.745,5.551760334571876,316.8573333333334,314.88466666666665
2025-01-01,All_Items,318.175,6.360041317203136,317.434,316.2536666666667
2025-03-01,All_Items,320.604,5.83435117023734,318.50800000000004,317.503
2025-05-01,All_Items,321.56,5.217692906738569,320.113,318.48516666666666
